date,ticker,p_1045,p_1115,p_1145,p_1215,ret_control,ret_phantom,ret_post
2025-02-04,GOOGL,205.3745,200.8200,200.8700,200.8300,-0.022177,0.000249,-0.000199
2025-02-05,GOOGL,188.0134,191.0600,189.9600,190.4300,0.016204,-0.005757,0.002474
2025-02-06,GOOGL,189.4975,191.0700,190.4600,190.9100,0.008298,-0.003193,0.002363
2025-02-07,GOOGL,185.6059,190.2700,190.3800,190.3000,0.025129,0.000578,-0.000420
2025-02-10,GOOGL,187.1270,185.5100,185.6400,185.6100,-0.008641,0.000701,-0.000162
2025-02-11,GOOGL,185.6229,185.5100,185.1000,185.1400,-0.000608,-0.002210,0.000216
2025-02-12,GOOGL,182.7643,184.8000,184.7000,184.6600,0.011138,-0.000541,-0.000217
2025-02-13,GOOGL,184.1491,182.2200,182.6300,182.6700,-0.010476,0.002250,0.000219
2025-02-14,GOOGL,184.2683,186.4100,186.0200,186.3100,0.011623,-0.002092,0.001559
2025-02-18,GOOGL,183.7006,185.5500,185.4800,185.4700,0.010067,-0.000377,-0.000054
2025-02-19,GOOGL,183.9197,183.3800,183.2300,183.2800,-0.002934,-0.000818,0.000273
2025-02-20,GOOGL,182.7942,184.2100,184.1200,184.2700,0.007745,-0.000489,0.000815
2025-02-21,GOOGL,181.5790,184.1600,184.2300,184.2400,0.014214,0.000380,0.000054
2025-02-24,GOOGL,179.5071,180.2400,180.2100,180.2300,0.004083,-0.000166,0.000111
2025-02-25,GOOGL,174.8856,177.8900,177.6100,177.4800,0.017179,-0.001574,-0.000732
2025-02-26,GOOGL,174.5967,175.8700,176.2000,176.2400,0.007293,0.001876,0.000227
2025-02-27,GOOGL,169.5766,173.5600,173.6900,173.4500,0.023490,0.000749,-0.001382
2025-02-28,GOOGL,167.8336,168.2500,168.2200,168.2100,0.002481,-0.000178,-0.000059
2025-03-03,GOOGL,170.2440,170.5600,170.9000,171.0400,0.001856,0.001993,0.000819
2025-03-04,GOOGL,166.9869,166.7400,166.3900,166.5400,-0.001479,-0.002099,0.000901
2025-03-05,GOOGL,169.5667,171.8400,172.3900,171.9900,0.013407,0.003201,-0.002320
2025-03-06,GOOGL,173.6305,170.7700,170.8800,170.8400,-0.016475,0.000644,-0.000234
2025-03-07,GOOGL,170.4083,172.6800,172.1400,171.8200,0.013331,-0.003127,-0.001859
2025-03-10,GOOGL,164.9345,171.2900,171.7300,171.6000,0.038533,0.002569,-0.000757
2025-03-11,GOOGL,163.8176,166.4500,165.9800,165.8400,0.016069,-0.002824,-0.000843
2025-03-12,GOOGL,164.9644,163.8900,164.6300,164.4600,-0.006513,0.004515,-0.001033
2025-03-13,GOOGL,163.7378,164.9500,165.1700,165.2900,0.007403,0.001334,0.000727
2025-03-14,GOOGL,162.9400,163.7600,164.1700,164.2600,0.005033,0.002504,0.000548
2025-03-17,GOOGL,164.2963,164.4700,164.4700,164.1900,0.001057,0.000000,-0.001702
2025-03-18,GOOGL,157.6347,164.0200,164.0600,164.0500,0.040507,0.000244,-0.000061
2025-03-19,GOOGL,161.3843,160.0600,160.4400,160.2700,-0.008206,0.002374,-0.001060
2025-03-20,GOOGL,164.2663,164.5900,164.8100,164.5100,0.001971,0.001337,-0.001820
2025-03-21,GOOGL,162.1522,162.3200,161.6600,161.4300,0.001035,-0.004066,-0.001423
2025-03-24,GOOGL,166.9988,165.9700,165.3700,165.4800,-0.006161,-0.003615,0.000665
2025-03-25,GOOGL,169.6814,167.0300,166.9000,166.8000,-0.015626,-0.000778,-0.000599
2025-03-26,GOOGL,167.3578,170.3100,170.8100,170.5600,0.017640,0.002936,-0.001464
2025-03-27,GOOGL,163.4785,164.6500,165.0900,165.0400,0.007166,0.002672,-0.000303
2025-03-28,GOOGL,157.8341,161.3500,161.1200,161.2400,0.022276,-0.001425,0.000745
2025-03-31,GOOGL,150.9930,153.0100,152.5500,152.3200,0.013358,-0.003006,-0.001508
2025-04-01,GOOGL,156.2086,154.4000,154.6400,155.3400,-0.011578,0.001554,0.004527
2025-04-02,GOOGL,155.7898,155.7100,156.3100,156.3300,-0.000512,0.003853,0.000128
2025-04-03,GOOGL,151.0080,152.9500,153.2500,152.8400,0.012860,0.001961,-0.002675
2025-04-04,GOOGL,146.6849,149.3600,149.3800,148.8300,0.018237,0.000134,-0.003682
2025-04-07,GOOGL,146.1264,139.0400,140.2600,139.2500,-0.048495,0.008774,-0.007201
