streak_len,streak_bin,date,next_day_ret,next_day_range,max_bounce_3d,rsi,vix,vix_bucket,ticker,split
3,3,2026-02-19,-0.0027134569238712603,0.009679346340376907,0.010479208642562823,55.98375640484843,19.62,<20,COST,A
4,4,2026-02-20,0.0010152387333881574,0.013441760830059197,0.013228560696047647,55.02076440454351,20.23,20-25,COST,A
2,2,2026-02-26,0.02484088052864153,0.024942230510398525,0.024840880528641612,54.23482406339231,17.93,<20,COST,A
2,2,2026-03-05,0.01665546800236184,0.04279925885203507,0.02330340235782785,49.49713699777036,21.15,20-25,COST,A
2,2,2026-03-11,0.011408645172994003,0.022383923082349894,0.016205919998387396,51.84589856787474,24.93,20-25,COST,A
2,2,2026-03-17,-0.016657969734676703,0.015895315698631268,-0.0166579697346767,52.20698827868438,,,COST,B
2,2,2025-02-12,0.013891927368190782,0.017064099759352466,0.013891927368190725,,16.02,<20,GOOGL,B
2,2,2025-02-18,0.008140297202797298,0.010216346153846024,0.008140297202797252,,14.77,<20,GOOGL,A
2,2,2025-02-21,-0.0020676166526961692,0.023582006146968423,-0.0020676166526961506,,15.66,<20,GOOGL,A
3,3,2025-02-24,-0.02133497592115574,0.02256691678799418,-0.021334975921155797,23.01053423311157,18.21,<20,GOOGL,A
4,4,2025-02-25,-0.015734965955255475,0.025633689992561593,-0.01573496595525548,19.550793514208493,18.98,<20,GOOGL,B
5,5,2025-02-26,-0.02441576560865022,0.03830949889547729,-0.013951866062085837,17.504959634581823,19.43,<20,GOOGL,B
6,5,2025-02-27,0.010725777618877386,0.02282207126683342,0.014539387438922642,14.93456485466345,19.1,<20,GOOGL,B
2,2,2025-03-11,0.018833312950960135,0.025070319187966213,0.018833312950960086,26.205177180441382,27.86,>=25,GOOGL,A
2,2,2025-03-18,0.020534265385095507,0.03027087754337782,0.020908750468106318,29.6853760976299,20.51,20-25,GOOGL,B
2,2,2025-03-27,-0.04841402337228706,0.050454461138935244,-0.03165770110678277,38.255688981513146,18.33,<20,GOOGL,B
3,3,2025-03-28,0.0013645224171541237,0.03157894736842114,0.01760883690708257,31.417042565132988,18.69,<20,GOOGL,A
2,2,2025-04-03,-0.03453093812375252,0.037724550898203695,-0.025948103792415207,30.47933052854971,21.51,20-25,GOOGL,A
3,3,2025-04-04,0.00888980773206538,0.08469436978843649,0.09041416856178054,26.837685468783064,30.02,>=25,GOOGL,A
2,2,2025-04-16,-0.01379986919555276,0.04028776978417264,-0.012034009156311337,43.272311805139665,30.12,>=25,GOOGL,B
3,3,2025-04-17,-0.023542675243716338,0.0187678227999205,0.02685854499635262,41.42034847727939,32.64,>=25,GOOGL,A
4,4,2025-04-21,0.02594403694648184,0.02472154305895147,0.07715294756859538,38.439559266990706,29.65,>=25,GOOGL,A
