market,touch,signal,prev_run,lag,ret4,mae,grp,quarter
^FCHI,2004-09-24,2004-09-24,2,0,0.003718490509910577,-0.010736309769512897,B1,2004Q3
^FCHI,2004-10-15,2004-10-15,2,0,0.044772771093456454,-0.01944825932182992,B1,2004Q4
^FCHI,2004-10-29,2004-10-29,1,0,0.020335457729908857,-0.0023956185596716306,B1,2004Q4
^FCHI,2005-04-22,2005-04-22,24,0,0.02914447239394269,-0.024561706114961557,EVENT,2005Q2
^FCHI,2005-05-13,2005-05-13,1,0,0.041367536075378686,-0.006826949561583029,B1,2005Q2
^FCHI,2005-07-08,2005-07-08,7,0,0.02822822891018384,-0.0015441065012231636,B1,2005Q3
^FCHI,2005-10-21,2005-11-04,14,2,0.03641047359816829,-0.005439396666007457,B1,2005Q4
^FCHI,2006-05-19,2006-07-28,27,10,0.01643033841801267,-0.01911095212182723,EVENT,2006Q3
^FCHI,2006-08-11,2006-08-18,1,1,0.0017894268367248944,-0.022881008582232187,B1,2006Q3
^FCHI,2007-03-02,2007-03-09,27,1,0.036754410529263426,-0.043746257107528,EVENT,2007Q1
^FCHI,2007-03-30,2007-03-30,1,0,0.05264491158495366,-0.004415985773168041,B1,2007Q1
^FCHI,2007-07-27,2007-10-05,16,10,-0.021019213240192403,-0.03635661399607382,EVENT,2007Q4
^FCHI,2007-10-19,2007-10-26,1,1,-0.04723146330764327,-0.07525800280993411,B1,2007Q4
^FCHI,2007-12-07,2007-12-07,1,0,-0.04755584016393444,-0.052672387295081946,B1,2007Q4
^FCHI,2008-05-09,2008-05-09,1,0,-0.03331080209153703,-0.03363326757045593,B1,2008Q2
^FCHI,2008-06-06,2009-04-17,3,45,0.02493243407565049,-0.06256224008398803,B1,2009Q2
^FCHI,2009-07-10,2009-07-17,11,1,0.08600699152805946,0.004809747723020008,B1,2009Q3
^FCHI,2009-11-27,2009-11-27,18,0,0.05139932870429753,-0.014021398198353796,EVENT,2009Q4
^FCHI,2010-01-22,2010-01-22,7,0,-0.013410871560644244,-0.07194083801733109,B1,2010Q1
^FCHI,2010-04-30,2010-08-06,8,14,-0.011800190277329148,-0.08105648658647324,B1,2010Q3
^FCHI,2010-11-26,2010-11-26,12,0,0.04899096745468179,-0.036707622499189685,B1,2010Q4
^FCHI,2010-12-10,2010-12-10,1,0,0.002133584004664346,-0.005521938193027154,B1,2010Q4
^FCHI,2011-01-14,2011-01-14,4,0,0.029631366217983235,-0.00827960380043169,B1,2011Q1
^FCHI,2011-03-11,2011-03-25,7,2,0.012461043873012834,-0.02768616892473097,B1,2011Q1
^FCHI,2011-04-15,2011-04-15,2,0,0.011163754102559764,-0.028199935255877495,B1,2011Q2
^FCHI,2011-05-06,2011-05-06,2,0,-0.041234515864258414,-0.05239516824153423,B1,2011Q2
^FCHI,2011-05-20,2011-07-01,1,6,-0.0834916016748034,-0.09397733875972292,B1,2011Q3
^FCHI,2011-12-09,2011-12-09,1,0,-0.011029674896294028,-0.07280097977935263,B1,2011Q4
^FCHI,2011-12-30,2011-12-30,1,0,0.050303641112723785,-0.014355327244594651,B1,2011Q4
^FCHI,2012-04-06,2012-04-06,13,0,-0.04754491525261695,-0.06971782935976634,B1,2012Q2
^FCHI,2012-11-09,2012-11-09,15,0,0.05317257582805546,-0.02396622449367436,EVENT,2012Q4
^FCHI,2013-03-01,2013-03-01,14,0,0.0085164262141888,-0.008308307760079958,B1,2013Q1
^FCHI,2013-03-29,2013-03-29,3,0,0.021072441215250315,-0.039405921108073505,B1,2013Q1
^FCHI,2013-04-19,2013-04-26,1,1,0.03851392720668034,0.0023595464939207833,B1,2013Q2
^FCHI,2013-06-14,2013-06-14,6,0,0.013121702355360698,-0.06044160969489476,B1,2013Q2
^FCHI,2013-12-06,2013-12-20,21,2,0.03188777158641076,-0.0013877308940751787,EVENT,2013Q4
^FCHI,2014-01-17,2014-01-17,3,0,0.002920886590121352,-0.057053703603408445,B1,2014Q1
^FCHI,2014-03-14,2014-03-21,4,1,0.02226621538199547,-0.015754416801737836,B1,2014Q1
^FCHI,2014-06-27,2014-06-27,13,0,-0.023989331520918533,-0.03592754273268184,B1,2014Q2
^FCHI,2014-07-11,2014-09-05,1,8,-0.0456370100688569,-0.054345445941657355,B1,2014Q3
^FCHI,2014-09-19,2014-09-19,1,0,-0.09594690748035994,-0.150656115379728,B1,2014Q3
^FCHI,2014-12-12,2014-12-26,3,2,0.08027278324682219,-0.051140095802396535,B1,2014Q4
^FCHI,2015-06-05,2015-06-26,20,3,-0.00035777778206724786,-0.09038439637184181,EVENT,2015Q2
^FCHI,2015-07-31,2015-07-31,2,0,-0.08017140631086872,-0.1676539517743224,B1,2015Q3
^FCHI,2015-08-14,2015-10-23,1,10,-0.0025732834900975554,-0.035057466989765085,B1,2015Q4
^FCHI,2015-11-13,2015-11-13,2,0,-0.0537422656687806,-0.058380477809682474,B1,2015Q4
^FCHI,2015-11-27,2015-11-27,1,0,-0.05414855430766208,-0.09279457007067593,B1,2015Q4
^FCHI,2016-05-06,2016-05-20,3,2,-0.036764700110028414,-0.05606010326365318,B1,2016Q2
^FCHI,2016-06-10,2016-07-15,2,5,0.029200661090576174,-0.018106288177422436,B1,2016Q3
^FCHI,2016-07-29,2016-07-29,1,0,0.0004639970103592628,-0.03299019843433182,B1,2016Q3
^FCHI,2016-09-16,2016-09-23,6,1,0.010555392203734248,-0.03253728963104641,B1,2016Q3
^FCHI,2016-10-14,2016-10-14,2,0,0.004104322595103405,-0.028191075050532755,B1,2016Q4
^FCHI,2016-11-04,2016-11-11,2,1,0.061212580996897525,-0.002133994632383507,B1,2016Q4
^FCHI,2017-06-30,2017-07-14,32,2,-0.03331037412626381,-0.03601698017564958,EVENT,2017Q3
^FCHI,2018-01-05,2018-01-05,15,0,-0.019333732949092908,-0.019333732949092908,EVENT,2018Q1
^FCHI,2018-02-02,2018-04-20,3,11,0.0372595637751596,-0.004463498004054989,B1,2018Q2
^FCHI,2018-06-22,2018-06-22,8,0,0.002030660848913124,-0.026866445144423046,B1,2018Q2
^FCHI,2018-07-13,2018-07-13,1,0,-0.0026744306728248013,-0.016006112778826687,B1,2018Q3
^FCHI,2018-07-27,2018-07-27,1,0,-0.014380119779406342,-0.040745533077181206,B1,2018Q3
^FCHI,2018-08-10,2018-09-21,1,6,-0.07453532953077036,-0.0794878448924019,B1,2018Q3
^FCHI,2018-10-05,2019-02-01,1,17,0.04899729985396095,-0.014567811255161267,B1,2019Q1
^FCHI,2019-05-31,2019-06-07,15,1,0.042816606578773175,-0.004082717935357749,EVENT,2019Q2
^FCHI,2019-08-02,2019-08-30,7,4,0.029212787607438173,-0.007170869125980972,B1,2019Q3
^FCHI,2019-10-04,2019-10-04,4,0,0.04984591300470398,-0.00752690439275383,B1,2019Q4
^FCHI,2020-01-31,2020-02-07,16,1,-0.14770763907603968,-0.15127993296260211,EVENT,2020Q1
