ticker,sector,entry_day,entry_bar,entry_price,exit_day,exit_bar,exit_price,return_pct,bars_held,exit_reason,pullback_depth,rs_rank,vix_at_entry
MU,growth_semi,2025-12-31,1,287.84,2025-12-31,2,285.43,-0.8373,1,EMA9_BREAK,1,1,14.2
C,finance,2026-01-02,1,117.27,2026-01-08,1,120.57,2.814,8,HARD_MAX,2,2,14.33
MU,growth_semi,2026-01-05,2,312.15,2026-01-09,2,344.97,10.5142,8,HARD_MAX,1,1,14.51
TSM,growth_semi,2026-01-05,2,322.35,2026-01-08,1,317.13,-1.6194,5,EMA9_BREAK,1,6,14.51
BA,finance,2026-01-06,1,230.23,2026-01-08,2,227.3,-1.2726,5,EMA9_BREAK,1,5,14.51
BIDU,china_adr,2026-01-06,2,146.36,2026-01-08,1,141.22,-3.5119,3,EMA9_BREAK,1,2,14.9
GS,finance,2026-01-06,1,950.51,2026-01-08,2,929.17,-2.2451,5,EMA9_BREAK,1,4,14.51
V,finance,2026-01-06,1,355.95,2026-01-08,1,351.62,-1.2165,4,EMA21_BREAK,1,7,14.51
AMZN,mega_tech,2026-01-08,1,245.67,2026-01-13,1,242.72,-1.2008,6,EMA9_BREAK,1,7,14.75
C,finance,2026-01-09,1,120.69,2026-01-12,1,116.45,-3.5131,2,EMA21_BREAK,1,5,15.38
JPM,finance,2026-01-09,1,329.87,2026-01-12,1,322.39,-2.2676,2,EMA21_BREAK,1,4,15.38
BIDU,china_adr,2026-01-12,1,152.2,2026-01-16,1,148.31,-2.5558,8,EMA9_BREAK,1,3,15.45
MU,growth_semi,2026-01-13,2,338.18,2026-01-14,1,332.85,-1.5761,1,EMA9_BREAK,1,1,15.12
TSM,growth_semi,2026-01-13,2,331.02,2026-01-14,1,325.77,-1.586,1,EMA9_BREAK,1,4,15.12
BA,finance,2026-01-14,1,241.79,2026-01-21,1,247.94,2.5435,8,HARD_MAX,1,2,15.12
GOOGL,mega_tech,2026-01-14,1,334.11,2026-01-16,1,329.5,-1.3798,4,EMA9_BREAK,1,5,15.12
MU,growth_semi,2026-01-16,1,354.21,2026-01-23,1,399.25,12.7156,8,HARD_MAX,2,1,16.75
TSM,growth_semi,2026-01-16,2,342.38,2026-01-20,1,329.09,-3.8817,1,EMA9_BREAK,2,3,15.84
BIDU,china_adr,2026-01-21,1,159.9,2026-01-26,1,156.84,-1.9137,6,EMA9_BREAK,1,2,15.86
COST,consumer,2026-01-21,1,977.58,2026-01-27,1,964.37,-1.3513,8,EMA9_BREAK,1,6,15.86
AMD,growth_semi,2026-01-23,1,258.31,2026-01-29,1,247.83,-4.0571,8,EMA9_BREAK,1,3,16.9
BA,finance,2026-01-23,1,250.83,2026-01-26,2,248.38,-0.9768,3,EMA9_BREAK,1,5,16.9
BABA,china_adr,2026-01-23,1,173.99,2026-01-26,2,171.38,-1.5001,3,EMA9_BREAK,1,4,16.9
MU,growth_semi,2026-01-26,2,389.08,2026-01-30,2,414.73,6.5925,8,EMA9_BREAK,1,1,16.09
BABA,china_adr,2026-01-27,2,172.68,2026-01-30,1,170.28,-1.3899,5,EMA21_BREAK,2,4,16.15
TSM,growth_semi,2026-01-27,1,339.8,2026-01-30,1,331.02,-2.5839,6,EMA21_BREAK,1,7,16.09
TXN,other,2026-01-30,1,214.49,2026-02-04,2,217.36,1.3381,7,EMA9_BREAK,1,2,16.35
AMD,growth_semi,2026-02-03,2,250.77,2026-02-04,1,220.69,-11.9951,1,EMA21_BREAK,2,3,16.34
MU,growth_semi,2026-02-03,1,440.85,2026-02-04,1,418.9,-4.979,2,EMA9_BREAK,1,1,17.44
